Name,Price,Rating,Specifications,Link,Brand,Model,Title,Warranty,Box Contents,Type,Design,Open or closed back,Fit,Impedance,Max frequency response,Min frequency response,Eartip size,Weight,Colours,Dimensions,Noise cancellation,Replaceable earbuds,Call control,Music control,Connectivity,Bluetooth version,Range,Bluetooth features,Microphone,Playback time,Charging type,Charging time,Compatible Models,Sensitivity,Foldable Design,Battery type,Battery capacity,Standby time,Colour(s),Driver Size,Connector,Driver type,Bluetooth audio codec,Bluetooth profile,Magnet Material,Noise isolation,Series,LED headphones,Max power input,Tangle free,Noise reduction,Cord Material,Plug type,Cable length,Cord type,Driver Material,Headphone housing type,Mic frequency,Other control,Mic type,Echo reduction,Detachable cable,Multidriver,Carrying Case Type
Philips TAT2236 TWS Bluetooth Headset,"₹1,643",3.1,"In ear Wireless Earbuds, Bluetooth v5.0, 6 hrs Playback Time, 12mm, Dynamic Driver, Call control, 200 hrs standby time",https://www.mysmartprice.com/audio/philips-tat2236-tws-bluetooth-headset-msf601793,Philips,TAT2236 TWS,Philips TAT2236 TWS,1 Year,"1 Earphone Set, Charging Case, Quick Start Guide, Safety Insert, Charging Cable, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,28 Ohms,20000 Hz,20 Hz,Medium,36 gm,"Black, Green, Pink, White",Overall :45.8 x 59.6 x 28.9 mm,,,Answer / End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,6 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",104 dB/mw,Yes,Li-Polymer,350 mAh,200 Hours,,,,Dynamic Driver,,A2DP  AVRCP  HFP,Neodymium,,,,5 mW,,,,,,,,,,,,,,,
MadRabbit Soul Buds Alpha Bluetooth Headset,"₹1,166",3.9,"In ear Wireless Earbuds, Bluetooth v5.1, 27 hrs Playback Time, 13mm, Dynamic Driver, Noise Isolation, 4 Month standby time",https://www.mysmartprice.com/audio/madrabbit-soul-buds-alpha-bluetooth-headset-msf613634,MadRabbit,Soul Buds Alpha,MadRabbit Soul Buds Alpha,1 Year,"Soul Earbuds Alpha, Charging Case, Extra Ear tips (S/M/L), Type C Charging Cable, User Manual, Quick Start Guide and Warranty card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",41 gm,,Overall :47 x 24 x 60 mm,,Yes,Answer / End,Volume Control,,5.1,10 meter,,Yes,27 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,4 Month,Black,13 mm,Bluetooth,Dynamic Driver,,,,Yes,,,,,,,,,,,,,,,,,,
Yamaha TW-E7B Bluetooth Headset,"₹8,663",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 22 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 5 hrs Charging Time",https://www.mysmartprice.com/audio/yamaha-tw-e7b-bluetooth-headset-msf601586,Yamaha,TW-E7B,Yamaha TW-E7B,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",7.3 gm,"Black, White, Dark Blue, Beige",,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,22 Hours,,5 Hours,"Mobile Phone, PC, Tablet",,Yes,,,,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,
vivo TWS Air Bluetooth Headset,"₹2,999",3.4,"In ear Wireless Earbuds, Bluetooth v5.2, 25 hrs Playback Time, 14.2mm, Dynamic Driver, Noise Reduction, 140 minute Charging Time",https://www.mysmartprice.com/audio/vivo-tws-air-bluetooth-headset-msf604471,vivo,TWS Air,vivo TWS Air,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,Medium,38 gm,", Pebble Blue, Bubble White",Eartips :30.09 x 18.54 x 16.52 mm  Carrying case :56 x 52 x 24 mm,,,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,25 Hours,USB,140 Minute,"Mobile Phone, PC, Tablet",,,,430 mAh,,,,,Dynamic Driver,,,,,,,,,Yes,,,,,,,,,,,,,
Boat Airdopes 381 Bluetooth Headset,₹999,3.4,"In ear Wireless Earbuds, Bluetooth v5.0, 4 hrs Playback Time, 10mm Driver, Call control, 24 hrs standby time",https://www.mysmartprice.com/audio/boat-airdopes-381-bluetooth-headset-msf602840,Boat,Airdopes 381,Boat Airdopes 381,1 Year,"Earbuds, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,,,,,,,Answer/End,Play/Pause,,5.0,10 meter,Auto Pairing,Yes,4 Hours,,1 Hours,"Media player, Mobile Phone, Tablet",,,,500 mAh,24 Hours,"Blue, Active Black, Mint Green, Mint Pink, Spirit Lime, Teal Blue",10 mm,Bluetooth,,A2DP  AVRCP  EDR  HFP  HSP,,,,,,,,,,,,,,,,,,,,,
TCL S150 Bluetooth Earbuds,"₹1,367",3.4,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Call control",https://www.mysmartprice.com/audio/tcl-s150-bluetooth-earbuds-msf604631,TCL,S150,TCL S150,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear,Closed Back,In the Ear,,,,,,,,,,Touch Control,,,5.0,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,White,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Zebronics Zeb-Sound Bomb Q Bluetooth Headset,"₹1,099",3.7,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Call control",https://www.mysmartprice.com/audio/zebronics-zeb-sound-bomb-q-bluetooth-headset-msf602970,Zebronics,Zeb-Sound Bomb Q,Zebroincs Zeb-Sound Bomb Q,1 Year,"Earbuds, Carrying Cable, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,Black,,,,Answer/End,Volume Control,Bluetooth,5.0,10 meter,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,Neodymium,,,,,,,,,,,,,,,,,,,
Fire-Boltt Fire Pods Rigel 711 Bluetooth Headset,"₹1,949",3.7,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 13mm Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/fire-boltt-fire-pods-rigel-711-bluetooth-headset-msf613260,Fire-Boltt,Fire Pods Rigel 711,Fire-Boltt Fire Pods Rigel 711,1 Year,"Earbuds, Charging Case",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",50 gm,,Overall :51 x 63 x 28 mm,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,40 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Blue, Green",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Hungama HiLife Bounce 101 Bluetooth Headset,₹224,3.6,"In ear Wireless Earbuds, Bluetooth v5.0, 30 hrs Playback Time, 10mm Driver, Noise Isolation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/hungama-hilife-bounce-101-bluetooth-headset-msf615150,Hungama HiLife,Bounce 101,Hungama HiLife Bounce 101,1 Year,"1 TWS, Charger, Instruction Manual, Warranty Card, NFC Card",Wireless,In ear canalphone,Closed Back,In the Ear,16 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",35 gm,,Overall :41.9 x 89.9 x 105 mm,,Yes,Answer / End,Volume Control,,5.0,10 meter,Auto Pairing,Yes,30 Hours,,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,,Black,10 mm,Bluetooth,,,,,Yes,,,,,,,,,,,,,,,,,,
Honor Choice Earbuds X5 Bluetooth Earbuds,"₹1,250",4.5,"In ear Wireless Earbuds, Bluetooth v5.2, 27 hrs Playback Time, 13mm Driver, Call control, 2.5 hrs Charging Time",https://www.mysmartprice.com/audio/honor-choice-earbuds-x5-bluetooth-earbuds-msf616169,Honor,Choice Earbuds X5,Honor Choice Earbuds X5,1 Year,"Earbud, Charging Case, USB Cable Type C, User Manual, Warranty Card",Wireless,In ear,Closed Back,In the Ear,,,,Medium,35 gm,,Eartips :38.82 x 18.6 x 16.81 mm  Carrying case :58.9 x 58.9 x 24.3 mm,", Active Noise Cancellation",,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,27 Hours,USB Type-C,2.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,410 mAh,,White,13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
PTron Basspods Orbit Bluetooth Earbuds,"₹2,599",3.3,"In ear Wireless Earbuds, Bluetooth v5.3, 36 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/ptron-basspods-orbit-bluetooth-earbuds-msf616685,PTron,Basspods Orbit,PTron Basspods Orbit,1 Year,"1 Pair of Earbuds, Charging Case, Type-C Charging Cable, User Manual, Warranty Card, 2 Pairs Ear Tips",Wireless,In ear,Closed Back,In the Ear,320 Ohms,20000 Hz,20 Hz,,,,,Yes,,,,,5.3,10 meter,Auto Pairing,Yes,36 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,,,"Blue, Brown, Green, Grey",13 mm,USB Type-C,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
PTron Basspods Blitz Bluetooth Headset,₹799,3.3,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/ptron-basspods-blitz-bluetooth-headset-msf616686,PTron,Basspods Blitz,PTron Basspods Blitz,1 Year,"1 Pair of Earbuds, Charging Case, Type-C Charging Cable, User Manual, Warranty Card, 2 Pairs Ear Tips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,Yes,,,,,5.3,10 meter,Auto Pairing,Yes,45 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,,,"Black, Blue",13 mm,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Nu Republic Epic Extreme Bluetooth Headset,"₹1,499",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 72 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/nu-republic-epic-extreme-bluetooth-headset-msf615690,Nu Republic,Epic Extreme,Nu Republic Epic Extreme,,"Earbud, Charging Case, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",50 gm,,Overall :350 x 200 x 400 mm,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,72 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Blue",13 mm,Bluetooth,,,,Neodymium,,,,,,,,,,,,,,,,,,,
OPPO Enco W11 Bluetooth Earbuds,"₹1,999",3.8,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 8mm, Dynamic Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/oppo-enco-w11-bluetooth-earbuds-msf602880,OPPO,Enco W11,Oppo Enco W11,1 Year,"Earbuds, USB Type-C Cable, User Manual, Warranty Card",Wireless,In ear,Closed Back,In the Ear,,20000 Hz,20 Hz,,4.4 gm,,,Yes,,Answer/End,Play/Pause,,5.0,10 meter,Auto Pairing,Yes,20 Hours,USB Type-C,2 Hours,"Media player, Mobile Phone, Tablet",99 dB/mw,,Li-ion,400 mAh,,White,8 mm,Bluetooth,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Creative MA930 Headset,"₹7,294",4.0,"In ear Wireless Earbuds, Bluetooth v4.0, 6mm Driver, Tangle Free",https://www.mysmartprice.com/audio/creative-ma930-headset-msf608642,Creative,MA930,Creative MA930,1 Year,"1 pair of Creative MA930 headset, 1 computer adapter, 1 pair of S, M, L size silicone eartips 1 travel pouch",Wired,In ear,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",12 gm,,,,Yes,Answer/End Call,"Volume up/down, Play/Pause",,4.0,,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,Black,6 mm,3.5 mm stereo,,,,Neodymium,,,,,Yes,,,Gold-plated Stereo Mini,1.2 Meter,Y shaped,,,,,,,,,
PTron Basspods Spell Bluetooth Headset,₹699,3.4,"In ear Wireless Earbuds, Bluetooth v5.3, 36 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/ptron-basspods-spell-bluetooth-headset-msf616684,PTron,Basspods Spell,PTron Basspods Spell,1 Year,"1 Pair of Earbuds, Charging Case, Type-C Charging Cable, User Manual, Warranty Card, 2 Pairs Ear Tips",Wireless,In ear canalphone,Closed Back,In the Ear,320 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",,,,Yes,,,,,5.3,10 meter,Auto Pairing,Yes,36 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,,,"Black, Green, White",13 mm,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
beatXP Wave XPods Bluetooth Headset,₹999,3.5,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 11mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/beatxp-wave-xpods-bluetooth-headset-msf613583,beatXP,Wave XPods,beatXP Wave XPods,1 Year,"Cable, Ear Cushions, User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",41 gm,,Overall :48 x 25 x 61 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,50 Hours,,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Blue, White",11 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Nu Republic Epic Bluetooth Headset,"₹1,199",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 64 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/nu-republic-epic-bluetooth-headset-msf615692,Nu Republic,Epic,Nu Republic Epic,6 Months,"Earbud, Charging Case, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",39 gm,,Eartips :27.1 x 50 x 62.7 mm  Carrying case :21.9 x 16.3 x 36.3 mm,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,64 Hours,,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Green",13 mm,Bluetooth,,,,Neodymium,,,,,,,,,,,,,,,,,,,
Portronics Harmonics Twins 24 Bluetooth Headset,₹889,3.7,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/portronics-harmonics-twins-24-bluetooth-headset-msf602118,Portronics,Harmonics Twins 24,Portronics Harmonics Twins 24,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Touch Control,,,5.0,10 meter,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,Black,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Noise Bare Buds Bluetooth Headset,"₹1,150",3.5,"In ear Wireless Earbuds, Bluetooth v5.2, 24 hrs Playback Time, 9mm, Dynamic Driver, Noise Cancellation, 1 hrs Charging Time",https://www.mysmartprice.com/audio/noise-bare-buds-bluetooth-headset-msf601526,Noise,Bare Buds,Noise Bare Buds,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",29 gm,", Bare Blue, Bare White, Bare Black",Overall :55.87 x 47.14 x 23.9 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,No,24 Hours,USB Type-C,1 Hours,,,Yes,,,,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,
Honor CHOICE Earbuds X Bluetooth Headset,"₹1,204",3.5,"In ear Wireless Earbuds, Bluetooth v5.2, 28 hrs Playback Time, Noise Reduction",https://www.mysmartprice.com/audio/honor-choice-earbuds-x-bluetooth-headset-msf601653,Honor,CHOICE Earbuds X,Honor CHOICE Earbuds X,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,Eartips :33 x 17.4 x 18.4 mm  Overall :600 x 459 x 236 mm,,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,28 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,500 mAh,,"Night Black, Glacier White",,Bluetooth,,,,,,,,,,Yes,,,,,,,,,,,,,
Edifier X3s Bluetooth Headset,"₹2,490",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 20 hrs Playback Time, 6mm Driver, Replaceable Earbuds, 3 hrs Charging Time",https://www.mysmartprice.com/audio/edifier-x3s-bluetooth-headset-msf601205,Edifier,X3s,Edifier X3s,1 Year,X3s True Wireless Stereo,Wireless,In ear canalphone,Closed Back,In the Ear,16 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",62 gm,"Black, White",Overall :119 x 76 x 30 mm,,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,20 Hours,USB Type-C,3 Hours,"Mobile Phone, PC, Tablet",,,,350 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syska HE910 Headset,₹299,4.0,"In ear Wireless Earbuds, 10mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/syska-he910-headset-msf602075,Syska,HE910,SYSKA HE910,6 Months,,Wired,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",100 gm,,Overall :100 x 100 x 100 mm,Yes,,Answer/End,Volume Control,,,,,Yes,,,,"Media player, Mobile Phone, PC, Tablet",91 dB/mw,Yes,,,,"Pink, Gorgeous Green",10 mm,3.5 mm jack,Dynamic Driver,,,,,,,,Yes,,,,1.2 Meter,,,,,,,,,,
Zebronics Zeb-Sound Bomb G1 Bluetooth Headset,₹899,3.0,"In ear Wireless Earbuds, Bluetooth v5.0, Replaceable Earbuds",https://www.mysmartprice.com/audio/zebronics-zeb-sound-bomb-g1-bluetooth-headset-msf602093,Zebronics,Zeb-Sound Bomb G1,Zebronics Zeb-Sound Bomb G1,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,,,,,,Yes,Touch Control,,,5.0,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,Black,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Portronics Harmonics Twins S1 Bluetooth Headset,"₹2,066",3.7,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/portronics-harmonics-twins-s1-bluetooth-headset-msf602514,Portronics,Harmonics Twins S1,Portronics Harmonics Twins S1,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Touch Control,,,5.0,10 meter,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,Black,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
AmazonBasics GT28 Bluetooth Headset,₹749,3.3,"In ear Wireless Earbuds, Bluetooth v5.3, 7 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/amazonbasics-gt28-bluetooth-headset-msf615694,AmazonBasics,GT28,Amazon Basics GT28,1 Year,"Earbud, Charging Case, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",50 gm,,Overall :210 x 200 x 400 mm,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,7 Hours,USB,,"Mobile Phone, PC, Tablet",,,Li-ion,,,Black,10 mm,Bluetooth,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 601 ANC Bluetooth Headset,"₹3,999",3.3,"In ear Wireless Earbuds, Bluetooth v5.0, 5.5 hrs Playback Time, 10mm Driver, Noise Cancellation, 22 hrs standby time",https://www.mysmartprice.com/audio/boat-airdopes-601-anc-bluetooth-headset-msf602078,Boat,Airdopes 601 ANC,Boat Airdopes 601 ANC,1 Year,"Earbuds, Charging Case, USB Cable Type-C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,"Black, White Purity",,Yes,Yes,Answer/End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,5.5 Hours,USB Type-C,60 Minute,"Media player, Mobile Phone, PC, Tablet",33 dB/mw,Yes,,,22 Hours,,,,,,,,,,,,,,,,,,,,,Longpress to Activate ANC,,,,,
Boat Airdopes 500 ANC Bluetooth Headset,"₹3,009",3.3,"In ear Wireless Earbuds, Bluetooth v5.2, 27.5  Playback Time, Noise Cancellation, 1 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-500-anc-bluetooth-headset-msf601919,Boat,Airdopes 500 ANC,Boat Airdopes 500 ANC,,"Charging Case, USB Cable TypeC, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,Yes,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,27.5,USB Type-C,1 Hours,"Mobile Phone, PC, Tablet",,Yes,,150 mAh,,"Black, Blue, Grey",,,,,,,,,,,,,,,,,,,,,,,,,
Zebronics Zeb Sound Bomb 1 Bluetooth Headset,"₹1,097",4.1,"In ear Wireless Earbuds, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/zebronics-zeb-sound-bomb-1-bluetooth-headset-msf602137,Zebronics,Zeb Sound Bomb 1,Zebronics Zeb Sound Bomb 1,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Touch Control,,,,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,Orange,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Yamaha TW-ES5A Bluetooth Headset,"₹5,419",4.0,"In ear Wireless Earbuds, Bluetooth v5.2, 6mm, Dynamic Driver, Replaceable Earbuds, 4 hrs Charging Time",https://www.mysmartprice.com/audio/yamaha-tw-es5a-bluetooth-headset-msf601587,Yamaha,TW-ES5A,Yamaha TW-ES5A,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",7.9 gm,"Black, Blue, Green, Pink, White",,,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,,USB Type-C,4 Hours,"Mobile Phone, PC, Tablet",,Yes,,,,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,
Gizmore 801 Air Bluetooth Earbuds,₹599,3.4,"In ear Wireless Earbuds, Bluetooth v5.0, 4 hrs Playback Time, 10mm Driver, Noise Cancellation, 20 hrs standby time",https://www.mysmartprice.com/audio/gizmore-801-air-bluetooth-earbuds-msf613226,Gizmore,801 Air,Gizmore 801 Air,6 Months,"Gizbud earpiece : 2U carry case : 1U, type-C cable:1U & user manual : 1U",Wireless,In ear,Closed Back,In the Ear,,,,Medium,25 gm,,Overall :16 x 42 x 58 mm,Yes,,Answer / End,Volume Control,,5.0,10 meter,Auto Pairing,Yes,4 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,2480 mAh,20 Hours,"Black, Blue, White",10 mm,Bluetooth,,A2DP,,,,,,,,,,,,,,,,,,,,,
Akai Bass Bullets BB20pro Bluetooth Headset,"₹3,500",3.6,"In ear Wireless Earbuds, Bluetooth v5.0, 8mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/akai-bass-bullets-bb20pro-bluetooth-headset-msf602125,Akai,Bass Bullets BB20pro,Akai Bass Bullets BB20pro,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,Yes,Yes,Answer/End,,,5.0,10 meter,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,Black,,Bluetooth,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
PTron Bassbuds Sports V3 Bluetooth Headset,"₹1,166",3.0,"Bone conduction Wireless Earbuds, Bluetooth v5.3, 36 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/ptron-bassbuds-sports-v3-bluetooth-headset-msf613251,PTron,Bassbuds Sports V3,PTron Bassbuds Sports V3,1 Year,"1 Pair Earbuds, 1 Charging Case, 1 Charging Cable, 1 User Guide Card, 2 Pairs Eartips",Wireless,Bone conduction,Closed Back,In the Ear,,,,"Large, Medium, Small",67 gm,,Overall :35 x 68 x 94 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,36 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Blue",10 mm,Bluetooth,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
AmazonBasics G27 Bluetooth Headset,"₹1,099",3.4,"In ear Wireless Earbuds, Bluetooth v5.3, 8 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 65 hrs standby time",https://www.mysmartprice.com/audio/amazonbasics-g27-bluetooth-headset-msf615695,AmazonBasics,G27,Amazon Basics G27,1 Year,"Earbud, Charging Case, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",50 gm,,Overall :210 x 200 x 410 mm,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,8 Hours,USB,,"Mobile Phone, PC, Tablet",,,Li-ion,,65 Hours,Black,10 mm,Bluetooth,Dynamic Driver,A2DP  HFP  HSP,,,,,,,,,,,,,,,,,,,,,
Edifier ED-TWSNB2 Pro Bluetooth Headset,"₹4,709",3.7,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/edifier-ed-twsnb2-pro-bluetooth-headset-msf604639,Edifier,ED-TWSNB2 Pro,Edifier ED-TWSNB2 Pro,1 Year,"Earbuds, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,White,,Yes,,Touch Control,,Bluetooth,5.0,,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
