Name,Price,Rating,Specifications,Link
Truke Buds F1 Bluetooth Headset,₹799,3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 48 hrs Playback Time, 6mm, Dynamic Driver, Replaceable Earbuds, 180 hrs standby time",https://www.mysmartprice.com/audio/truke-buds-f1-bluetooth-headset-msf601861
Bose QuietComfort Bluetooth Headset,"₹12,884",4.0,"In ear Wireless Earbuds, Bluetooth v5.1, 6 hrs Playback Time, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/bose-quietcomfort-bluetooth-headset-msf602229
Boat Airdopes 181 Bluetooth Headset,"₹1,099",3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 20 hrs Playback Time, 10mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/boat-airdopes-181-bluetooth-headset-msf602062
SoundPEATS TrueFree Bluetooth Earbuds,"₹3,499",4.3,"In ear Wireless Earbuds, Bluetooth v5.0, 15 hrs Playback Time, Dynamic Driver, Call control",https://www.mysmartprice.com/audio/soundpeats-truefree-bluetooth-earbuds-msf603768
JLAB Go Air Pop Bluetooth Headset,"₹1,399",4.2,"In ear Wireless Earbuds, Bluetooth v5.1, 32 hrs Playback Time, 6mm, Dynamic Driver, Replaceable Earbuds, 60 hrs standby time",https://www.mysmartprice.com/audio/jlab-go-air-pop-bluetooth-headset-msf613221
Boat Rockerz 235 V2 Bluetooth Earbuds,"₹1,299",3.7,"In ear Wireless Earbuds, Bluetooth v5.0, 6 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 150 hrs standby time",https://www.mysmartprice.com/audio/boat-rockerz-235-v2-bluetooth-earbuds-msf604999
Wings Phantom 315 Bluetooth Headset,₹999,4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/wings-phantom-315-bluetooth-headset-msf601295
DEFY Gravity Z Bluetooth Headset,₹799,4.0,"In ear Wireless Earbuds, Bluetooth v5.2, 50 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/defy-gravity-z-bluetooth-headset-msf601816
Mivi DuoPods K6 Bluetooth Headset,₹999,4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/mivi-duopods-k6-bluetooth-headset-msf612865
Truke Buds S2 Lite Bluetooth Headset,₹699,3.9,"In ear Wireless Earbuds, Bluetooth v5.1, 48 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 180 hrs standby time",https://www.mysmartprice.com/audio/truke-buds-s2-lite-bluetooth-headset-msf601644
JBL Tune 235NC Bluetooth Headset,"₹3,798",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 40 hrs Playback Time, 6mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/jbl-tune-235nc-bluetooth-headset-msf613228
Sony WF-1000XM4 Bluetooth Headset,"₹16,999",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 8 hrs Playback Time, 6mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/sony-wf-1000xm4-bluetooth-headset-msf602645
OPPO Enco Buds Bluetooth Headset,"₹1,299",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, Noise Cancellation",https://www.mysmartprice.com/audio/oppo-enco-buds-bluetooth-headset-msf602388
Mivi DuoPods K7 Bluetooth Headset,"₹1,299",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 60 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation, 250 hrs standby time",https://www.mysmartprice.com/audio/mivi-duopods-k7-bluetooth-headset-msf601191
Boat Airdopes 100 Bluetooth Earbuds,₹799,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 50 hrs Playback Time, 10mm, Dynamic Driver, Call control",https://www.mysmartprice.com/audio/boat-airdopes-100-bluetooth-earbuds-msf601503
Realme Buds Air 5 Pro Bluetooth Headset,"₹4,689",4.4,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, Noise Reduction",https://www.mysmartprice.com/audio/realme-buds-air-5-pro-bluetooth-headset-msf611597
Noise Buds Trance Bluetooth Headset,"₹1,199",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 8 hrs Playback Time, Replaceable Earbuds, 150 hrs standby time",https://www.mysmartprice.com/audio/noise-buds-trance-bluetooth-headset-msf612108
Boult Audio Y1 Pro Bluetooth Headset,"₹1,099",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 60 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boult-audio-y1-pro-bluetooth-headset-msf613343
Boult Audio AirBass PowerBuds Bluetooth Headset,"₹1,298",3.6,"In ear Wireless Earbuds, Bluetooth v5.0, 7 hrs Playback Time, Dynamic Driver, Tangle Free, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boult-audio-airbass-powerbuds-bluetooth-headset-msf603064
Truke BTG Alpha Bluetooth Headset,₹599,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 48 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation, 180 hrs standby time",https://www.mysmartprice.com/audio/truke-btg-alpha-bluetooth-headset-msf601720
JBL Tune 130NC Bluetooth Headset,"₹3,299",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 10 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/jbl-tune-130nc-bluetooth-headset-msf602390
Boult Audio Airbass Omega Bluetooth Headset,"₹1,298",3.6,"In ear Wireless Earbuds, 32 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/boult-audio-airbass-omega-bluetooth-headset-msf601424
JBL Tune 225TWS Bluetooth Headset,"₹4,389",4.0,"In ear Wireless Earbuds, Bluetooth v5.0, 5 hrs Playback Time, 10mm, Dynamic Driver, Call control, 25 hrs standby time",https://www.mysmartprice.com/audio/jbl-tune-225tws-bluetooth-headset-msf603050
